,,,Vítimas mortais,,,,,,,,,,,,
,,,<=14,,20-24,,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,"Total
(1)"
,,,,15-19,,25-29,,,,,,,,,
,,,,,,,,,,,,,,,
,,2004,22,6,10,6,9,13,11,10,5,13,15,79,204
,Peões,2005,9,1,7,4,10,9,13,12,15,16,12,76,188
,,05/04,-13,-5,-3,-2,1,-4,2,2,10,3,-3,-3,-16
Veículo,,2004,17,31,100,78,51,49,45,34,29,34,21,70,565
,Ligeiro*,2005,13,59,85,56,51,46,39,31,41,38,19,62,544
,,05/04,-4,28,-15,-22,0,-3,-6,-3,12,4,-2,-8,-21
Veículo,,2004,0,0,2,3,6,2,1,1,3,4,1,3,27
,Pesado*,2005,0,1,0,0,3,5,5,2,4,5,1,3,29
,,05/04,0,1,-2,-3,-3,3,4,1,1,1,0,0,2
,,2004,1,2,0,3,2,3,5,2,2,3,3,13,41
,Velocípede**,2005,5,3,1,2,2,2,2,2,3,1,3,14,42
,,05/04,4,1,1,-1,0,-1,-3,0,1,-2,0,1,1
,,2004,1,9,8,9,12,8,9,11,4,5,7,23,106
,Ciclomotor*,2005,0,4,7,6,7,10,8,8,6,3,9,25,93
,,05/04,-1,-5,-1,-3,-5,2,-1,-3,2,-2,2,2,-13
,,2004,1,22,31,37,20,20,9,9,4,2,3,0,159
,Motociclo*,2005,0,16,39,34,30,20,15,4,4,1,1,0,165
,,05/04,-1,-6,8,-3,10,0,6,-5,0,-1,-2,0,6
,,2004,42,70,151,136,101,96,83,70,49,64,58,200,1135
,Total (2),2005,27,85,140,105,103,92,85,62,76,66,47,195,1094
,,05/04,-15,15,-11,-31,2,-4,2,-8,27,2,-11,-5,-41
