,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,,
"Dentro das
localidades",Jan,15,6,37,31,435,489,487,526
,Fev,7,12,25,28,355,448,387,488
,Mar,10,5,29,34,400,381,439,420
,Abr,8,7,30,22,319,317,357,346
,Mai,8,4,29,21,414,327,451,352
,Jun,8,5,33,29,355,386,396,420
,Jul,4,12,36,24,395,403,435,439
,Ago,4,6,30,36,319,330,353,372
,Set,14,4,37,37,402,402,453,443
,Out,8,10,30,27,435,433,473,470
,Nov,11,15,47,40,430,535,488,590
,Dez,14,11,38,33,466,475,518,519
,TOTAL,111,97,401,362,4725,4926,5237,5385
"Fora das
localidades",Jan,2,2,3,2,8,4,13,8
,Fev,2,2,4,6,8,5,14,13
,Mar,2,2,1,3,12,7,15,12
,Abr,0,1,3,3,7,4,10,8
,Mai,8,1,7,8,7,8,22,17
,Jun,2,1,1,1,6,7,9,9
,Jul,2,5,0,3,6,7,8,15
,Ago,2,1,1,5,13,9,16,15
,Set,2,4,1,2,13,8,16,14
,Out,3,3,1,2,6,8,10,13
,Nov,4,2,4,1,10,10,18,13
,Dez,6,2,1,4,4,9,11,15
,TOTAL,35,26,27,40,100,86,162,152
