,,,,,,,,,
,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,,
"Dentro das
localidades",00-03,2,3,5,7,77,69,84,79
,03-06,3,1,5,2,48,28,56,31
,06-09,17,12,55,40,498,537,570,589
,09-12,15,21,66,58,883,986,964,1065
,12-15,18,13,56,49,798,767,872,829
,15-18,15,18,82,77,965,1018,1062,1113
,18-21,31,15,97,96,1173,1222,1301,1333
,21-24,10,14,35,33,283,299,328,346
,TOTAL,111,97,401,362,4725,4926,5237,5385
"Fora das
localidades",00-03,6,2,1,3,8,3,15,8
,03-06,7,2,4,1,3,3,14,6
,06-09,2,7,2,5,14,12,18,24
,09-12,3,4,2,3,17,16,22,23
,12-15,3,3,4,7,9,7,16,17
,15-18,2,1,2,4,20,12,24,17
,18-21,10,5,7,10,22,23,39,38
,21-24,2,2,5,7,7,10,14,19
,TOTAL,35,26,27,40,100,86,162,152
