,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
Atravessando a via,10,4,11,7,165,192,186,203
Circulação em sentido oposto ao estabelecido,5,5,8,13,99,102,112,120
Desvio brusco/ saída de fila de trânsito,15,10,40,38,387,346,442,394
Em marcha normal,287,281,1070,1023,19792,20128,21149,21432
Início de marcha,5,3,29,29,395,526,429,558
Inversão do sentido de marcha,1,3,3,1,70,77,74,81
Marcha atrás,0,0,2,0,45,58,47,58
Mudança de direção para a direita,2,5,7,7,278,226,287,238
Mudança de direção para a esquerda,10,9,38,39,1152,1040,1200,1088
Mudança de via de trânsito para a direita,0,1,5,4,52,53,57,58
Mudança de via de trânsito para a esquerda,1,2,7,6,100,122,108,130
Parado ou estacionado,7,8,10,8,651,684,668,700
Saída de parqueamento ou de rua particular,2,3,7,3,127,110,136,116
Trânsito em filas paralelas,0,0,0,3,33,16,33,19
Travagem brusca,1,0,2,6,118,144,121,150
Ultrapassagem pela direita,1,0,5,1,47,45,53,46
Ultrapassagem pela esquerda,9,9,39,25,492,468,540,502
N.D.,7,5,9,8,173,136,189,149
TOTAL,363,348,1292,1221,24176,24473,25831,26042
