,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,,,,,,
GNR,Jan,1408,1449,49,36,115,102,1750,1799,1914,1937,"3,5","2,5"
,Fev,1214,1434,28,38,84,116,1491,1763,1603,1917,"2,3","2,6"
,Mar,1405,1470,41,41,113,98,1699,1847,1853,1986,"2,9","2,8"
,Abr,1412,1319,33,30,118,91,1711,1638,1862,1759,"2,3","2,3"
,Mai,1607,1541,50,25,135,127,1942,1958,2127,2110,"3,1","1,6"
,Jun,1588,1486,41,35,150,115,2047,1788,2238,1938,"2,6","2,4"
,Jul,1803,1878,46,44,154,150,2296,2322,2496,2516,"2,6","2,3"
,Ago,1896,2028,42,45,186,179,2443,2576,2671,2800,"2,2","2,2"
,Set,1718,1611,48,46,140,133,2149,1963,2337,2142,"2,8","2,9"
,Out,1761,1673,32,50,123,129,2259,2044,2414,2223,"1,8","3,0"
,Nov,1527,1619,48,36,124,93,1853,1981,2025,2110,"3,1","2,2"
,Dez,1598,1556,35,40,120,120,2015,1927,2170,2087,"2,2","2,6"
,Total,18937,19064,493,466,1562,1453,23655,23606,25710,25525,"2,6","2,4"
PSP,Jan,1037,1191,11,9,52,39,1175,1381,1238,1429,"1,1","0,8"
,Fev,889,1097,9,11,40,32,1049,1282,1098,1325,"1,0","1,0"
,Mar,1070,977,7,6,54,45,1224,1124,1285,1175,"0,7","0,6"
,Abr,987,983,9,5,41,30,1129,1149,1179,1184,"0,9","0,5"
,Mai,1139,1019,9,9,61,37,1298,1199,1368,1245,"0,8","0,9"
,Jun,1118,1082,10,8,51,44,1293,1281,1354,1333,"0,9","0,7"
,Jul,1124,1178,1,11,47,57,1325,1401,1373,1469,"0,1","0,9"
,Ago,965,1035,5,10,38,57,1171,1216,1214,1283,"0,5","1,0"
,Set,1139,1140,5,2,59,56,1344,1306,1408,1364,"0,4","0,2"
,Out,1255,1205,9,11,42,53,1478,1417,1529,1481,"0,7","0,9"
,Nov,1149,1212,13,10,47,51,1335,1417,1395,1478,"1,1","0,8"
,Dez,1144,1116,12,5,54,45,1332,1327,1398,1377,"1,0","0,4"
,Total,13016,13235,100,97,586,546,15153,15500,15839,16143,"0,8","0,7"
TOTAL,,31953,32299,593,563,2148,1999,38808,39106,41549,41668,"1,9","1,7"
