,,VÍTIMAS MORTAIS,,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,N.D.,TOTAL
Peões,2015,4,3,2,1,3,6,5,7,9,8,15,81,2,146
,2016,2,2,2,2,0,2,6,5,9,10,10,73,0,123
,,,,,,,,,,,,,,,
Veíc. Ligeiros *,2015,4,16,24,25,19,14,19,18,22,16,24,63,0,264
,2016,3,9,29,22,18,13,12,19,19,21,22,81,0,268
,,,,,,,,,,,,,,,
Veíc. Pesados *,2015,0,0,0,0,2,1,2,2,3,6,1,2,0,19
,2016,0,0,0,0,0,0,0,0,0,1,5,1,0,7
,16-15,,,,,,,,,,,,,,
Velocípedes *,2015,2,2,0,1,0,2,1,3,3,1,3,7,0,25
,2016,2,0,0,3,0,1,1,4,2,2,3,14,1,33
,,,,,,,,,,,,,,,
Ciclomotores *,2015,0,0,1,2,1,2,3,6,4,5,5,13,0,42
,2016,0,0,2,0,3,3,4,4,2,6,2,18,0,44
,16-15,,,,,,,,,,,,,,
Motociclos *,2015,0,4,3,9,9,16,12,7,5,2,4,2,0,73
,2016,0,8,4,9,5,7,9,5,3,5,2,2,0,59
,16-15,,,,,,,,,,,,,,
Outros *,2015,3,0,1,0,0,3,0,2,3,0,3,9,0,24
,2016,0,0,1,1,1,1,0,1,1,1,4,17,0,28
,,,,,,,,,,,,,,,
N.D.,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,1
,16-15,,,,,,,,,,,,,,
TOTAL,2015,13,25,31,38,34,44,42,45,49,38,55,177,2,593
,2016,7,19,38,38,27,27,32,38,36,46,48,206,1,563
,,,,,,,,,,,,,,,
