,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,,,,
REGIÃO NORTE,Braga,2881,2807,48,34,179,155,3573,3483,3800,3672
,Bragança,338,350,3,10,46,53,420,398,469,461
,Porto,5487,5665,60,59,173,157,6849,7026,7082,7242
,Viana do Castelo,740,752,12,13,49,37,945,989,1006,1039
,Vila Real,604,548,12,8,54,51,785,675,851,734
,Total,10050,10122,135,124,501,453,12572,12571,13208,13148
REGIÃO CENTRO,Aveiro,2501,2528,61,57,109,102,2980,3061,3150,3220
,Castelo Branco,517,512,17,23,86,78,600,601,703,702
,Coimbra,1507,1489,32,29,86,82,1838,1810,1956,1921
,Guarda,399,413,13,15,55,54,459,471,527,540
,Leiria,1768,1753,41,46,166,160,2065,2016,2272,2222
,Viseu,1199,1260,28,24,95,107,1506,1551,1629,1682
,Total,7891,7955,192,194,597,583,9448,9510,10237,10287
"REGIÃO DE
LISBOA E VALE
TEJO",Lisboa,7222,7507,66,69,344,307,8581,8962,8991,9338
,Santarém,1460,1449,41,29,159,132,1753,1754,1953,1915
,Setúbal,2278,2219,54,47,155,143,2803,2779,3012,2969
,Total,10960,11175,161,145,658,582,13137,13495,13956,14222
"REGIÃO DO
ALENTEJO",Beja,436,437,39,29,90,90,536,497,665,616
,Évora,416,441,11,15,69,66,495,516,575,597
,Portalegre,299,310,13,18,71,68,335,346,419,432
,Total,1151,1188,63,62,230,224,1366,1359,1659,1645
"REGIÃO DO
ALGARVE",Faro,1901,1859,42,38,162,157,2285,2171,2489,2366
,Total,1901,1859,42,38,162,157,2285,2171,2489,2366
TOTAL,,31953,32299,593,563,2148,1999,38808,39106,41549,41668
