,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,,
"Dentro das
localidades",A sair ou entrar num veículo,4,13,2,31,87,377,93,421
,Atravessando em passagem sinalizada,28,22,137,137,2076,2111,2241,2270
,"Atravessando em passagem sinalizada com desrespeito
da sinalização semafórica",2,1,6,9,121,121,129,131
,"Atravessando fora da passagem de peões a mais de
50m de uma passagem ou quando não exista passagem",12,6,32,30,371,349,415,385
,"Atravessando fora da passagem de peões, a menos de
50m de uma passagem",21,13,72,45,590,530,683,588
,Em ilhéu ou refúgio na via,0,2,4,1,40,39,44,42
,Em plena faixa de rodagem,22,16,55,46,498,522,575,584
,Em trabalhos na via,0,0,4,1,33,34,37,35
,"Surgindo inesperadamente na faixa de rodagem de trás
de um obstáculo",5,3,30,24,270,269,305,296
,Transitando pela berma ou passeio,6,14,29,24,385,354,420,392
,Transitando pela direita da faixa de rodagem,7,6,13,6,158,117,178,129
,Transitando pela esquerda da faixa de rodagem,3,1,11,3,56,76,70,80
,N.D.,1,0,6,5,40,27,47,32
,TOTAL,111,97,401,362,4725,4926,5237,5385
"Fora das
localidades",A sair ou entrar num veículo,0,3,2,8,2,29,4,40
,Atravessando em passagem sinalizada,0,0,1,0,4,3,5,3
,"Atravessando em passagem sinalizada com desrespeito
da sinalização semafórica",0,0,0,1,2,0,2,1
,"Atravessando fora da passagem de peões a mais de
50m de uma passagem ou quando não exista passagem",7,6,4,4,9,7,20,17
,"Atravessando fora da passagem de peões, a menos de
50m de uma passagem",1,2,0,2,2,1,3,5
,Em ilhéu ou refúgio na via,0,0,1,0,1,0,2,0
,Em plena faixa de rodagem,14,10,9,16,23,14,46,40
,Em trabalhos na via,2,1,1,2,11,8,14,11
,"Surgindo inesperadamente na faixa de rodagem de trás
de um obstáculo",2,0,2,1,9,2,13,3
,Transitando pela berma ou passeio,7,3,6,3,24,15,37,21
,Transitando pela direita da faixa de rodagem,1,1,1,2,5,5,7,8
,Transitando pela esquerda da faixa de rodagem,1,0,0,1,8,2,9,3
,TOTAL,35,26,27,40,100,86,162,152
