,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
Abertura de porta,0,0,2,0,10,14,12,14
Ausência de luzes quando obrigatórias,1,0,2,1,8,5,11,6
Circulação afastada da berma ou passeio,0,0,1,3,29,43,30,46
Desrespeito da sinalização semafórica,1,1,4,8,101,77,106,86
Desrespeito da sinalização vertical,2,7,28,18,507,532,537,557
Desrespeito das distâncias de segurança,3,1,14,8,365,438,382,447
Desrespeito das marcas rodoviárias,1,2,8,7,65,65,74,74
Encandeamento,1,0,2,5,104,134,107,139
Falha mecânica do veículo,1,0,6,4,71,64,78,68
Manobra irregular,8,9,24,29,458,561,490,599
Não identificada,313,291,1088,1037,20428,20238,21829,21566
Não sinalização da manobra,0,0,1,1,19,46,20,47
Obstáculo imprevisto na faixa de rodagem,1,0,17,11,292,312,310,323
Queda de carga ou objecto,0,0,1,1,9,3,10,4
Rebentamento de pneumático,4,1,8,5,55,56,67,62
Velocidade excessiva para as condições existentes,26,30,76,71,1448,1625,1550,1726
N.D.,1,6,10,12,207,260,218,278
TOTAL,363,348,1292,1221,24176,24473,25831,26042
