,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,,
"Dentro das
localidades",2ª feira,24,10,60,63,770,816,854,889
,3ª feira,15,14,66,63,716,812,797,889
,4ª feira,17,12,65,45,789,755,871,812
,5ª feira,17,13,56,58,769,753,842,824
,6ª feira,15,19,60,60,774,825,849,904
,Sábado,7,19,57,45,530,546,594,610
,Domingo,16,10,37,28,377,419,430,457
,TOTAL,111,97,401,362,4725,4926,5237,5385
"Fora das
localidades",2ª feira,3,3,1,11,10,11,14,25
,3ª feira,2,1,4,4,17,14,23,19
,4ª feira,4,8,5,5,17,11,26,24
,5ª feira,5,1,2,3,13,18,20,22
,6ª feira,8,4,7,4,15,15,30,23
,Sábado,10,6,7,10,17,10,34,26
,Domingo,3,3,1,3,11,7,15,13
,TOTAL,35,26,27,40,100,86,162,152
