,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,,,,,,
Atropelamento,Atropelamento de peões,4668,4671,133,109,394,376,4528,4602,5055,5087,"2,8","2,3"
,Atropelamento de animais,94,75,0,2,5,8,95,84,100,94,"0,0","2,7"
,Atropelamento com fuga,308,419,9,10,25,26,288,407,322,443,"2,9","2,4"
,Total,5070,5165,142,121,424,410,4911,5093,5477,5624,"2,8","2,3"
Colisão,Colisão com fuga,350,476,6,4,20,22,381,536,407,562,"1,7","0,8"
,Colisão com outras situações,2188,2303,11,16,88,81,2751,2902,2850,2999,"0,5","0,7"
,Colisão frontal,2572,3118,98,93,314,380,3995,4754,4407,5227,"3,8","3,0"
,"Colisão traseira com outro veículo
em movimento",3691,3635,31,23,112,90,4890,4785,5033,4898,"0,8","0,6"
,"Colisão lateral com outro veículo
em movimento",6005,5710,65,63,293,237,7697,7202,8055,7502,"1,1","1,1"
,"Colisão com veículo ou obstáculo
na faixa de rodagem",1028,907,18,10,63,32,1286,1141,1367,1183,"1,8","1,1"
,Colisão choque em cadeia,660,638,3,1,16,6,1065,977,1084,984,"0,5","0,2"
,Total,16494,16787,232,210,906,848,22065,22297,23203,23355,"1,4","1,3"
Despiste,"Despiste com dispositivo de
retenção",807,531,9,4,38,20,929,596,976,620,"1,1","0,8"
,"Despiste sem dispositivo de
retenção",1577,1251,13,9,78,48,1692,1341,1783,1398,"0,8","0,7"
,Despiste com fuga,37,89,0,1,1,6,38,94,39,101,"0,0","1,1"
,Despiste simples,4609,5952,84,111,355,397,5038,6666,5477,7174,"1,8","1,9"
,"Despiste com transposição do
dispositivo de retenção lateral",206,207,17,11,42,23,268,236,327,270,"8,3","5,3"
,Despiste com capotamento,1985,1551,68,67,212,167,2521,1943,2801,2177,"3,4","4,3"
,"Despiste com colisão com veículo
imobilizado ou obstáculo",1168,766,28,29,92,80,1346,840,1466,949,"2,4","3,8"
,Total,10389,10347,219,232,818,741,11832,11716,12869,12689,"2,1","2,2"
TOTAL,,31953,32299,593,563,2148,1999,38808,39106,41549,41668,"1,9","1,7"
