,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,,
TOTAL,Jan,17,8,40,33,443,493,500,534
,Fev,9,14,29,34,363,453,401,501
,Mar,12,7,30,37,412,388,454,432
,Abr,8,8,33,25,326,321,367,354
,Mai,16,5,36,29,421,335,473,369
,Jun,10,6,34,30,361,393,405,429
,Jul,6,17,36,27,401,410,443,454
,Ago,6,7,31,41,332,339,369,387
,Set,16,8,38,39,415,410,469,457
,Out,11,13,31,29,441,441,483,483
,Nov,15,17,51,41,440,545,506,603
,Dez,20,13,39,37,470,484,529,534
,TOTAL,146,123,428,402,4825,5012,5399,5537
