,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,,
"Dentro das
localidades",Arruamento,86,80,342,314,4374,4534,4802,4928
,Estrada Municipal,20,13,45,37,243,261,308,311
,Estrada Nacional,1,2,0,1,9,2,10,5
,IP/IC,1,2,5,7,16,43,22,52
,Outra Via *,3,0,9,3,83,86,95,89
,TOTAL,111,97,401,362,4725,4926,5237,5385
"Fora das
localidades",Autoestrada,5,5,3,11,15,10,23,26
,Estrada Municipal,15,13,10,14,46,51,71,78
,Estrada Nacional,10,6,10,6,9,5,29,17
,IP/IC,3,0,3,6,18,12,24,18
,Outra Via *,2,2,1,3,12,8,15,13
,TOTAL,35,26,27,40,100,86,162,152
