,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,,,,,,
Dentro das localidades,Arruamento,19279,20007,204,202,960,917,22321,23293,23485,24412,"1,1","1,0"
,Estrada Municipal,608,734,13,16,56,62,746,869,815,947,"2,1","2,2"
,Estrada Nacional,3815,3685,72,77,263,232,4943,4761,5278,5070,"1,9","2,1"
,IP/IC,233,260,4,4,12,11,285,329,301,344,"1,7","1,5"
,Outra Via *,722,399,11,3,40,20,850,464,901,487,"1,5","0,8"
,TOTAL,24657,25085,304,302,1331,1242,29145,29716,30780,31260,"1,2","1,2"
Fora das localidades,Autoestrada,1714,1947,61,38,150,123,2497,2686,2708,2847,"3,6","2,0"
,Estrada Municipal,1027,1028,34,28,109,121,1278,1222,1421,1371,"3,3","2,7"
,Estrada Nacional,2931,2879,128,121,408,364,3776,3797,4312,4282,"4,4","4,2"
,IP/IC,805,839,39,45,78,102,1132,1103,1249,1250,"4,8","5,4"
,Outra Via *,819,521,27,29,72,47,980,582,1079,658,"3,3","5,6"
,TOTAL,7296,7214,289,261,817,757,9663,9390,10769,10408,"4,0","3,6"
,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,,,,,,
TOTAL,Arruamento,19279,20007,204,202,960,917,22321,23293,23485,24412,"1,1","1,0"
,Autoestrada,1714,1947,61,38,150,123,2497,2686,2708,2847,"3,6","2,0"
,Estrada Municipal,1635,1762,47,44,165,183,2024,2091,2236,2318,"2,9","2,5"
,Estrada Nacional,6746,6564,200,198,671,596,8719,8558,9590,9352,"3,0","3,0"
,IP/IC,1038,1099,43,49,90,113,1417,1432,1550,1594,"4,1","4,5"
,Outra Via *,1541,920,38,32,112,67,1830,1046,1980,1145,"2,5","3,5"
,TOTAL,31953,32299,593,563,2148,1999,38808,39106,41549,41668,"1,9","1,7"
