,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,,
TOTAL,A sair ou entrar num veículo,4,16,4,39,89,406,97,461
,Atravessando em passagem sinalizada,28,22,138,137,2080,2114,2246,2273
,"Atravessando em passagem sinalizada com desrespeito
da sinalização semafórica",2,1,6,10,123,121,131,132
,"Atravessando fora da passagem de peões a mais de
50m de uma passagem ou quando não exista passagem",19,12,36,34,380,356,435,402
,"Atravessando fora da passagem de peões, a menos de
50m de uma passagem",22,15,72,47,592,531,686,593
,Em ilhéu ou refúgio na via,0,2,5,1,41,39,46,42
,Em plena faixa de rodagem,36,26,64,62,521,536,621,624
,Em trabalhos na via,2,1,5,3,44,42,51,46
,"Surgindo inesperadamente na faixa de rodagem de trás
de um obstáculo",7,3,32,25,279,271,318,299
,Transitando pela berma ou passeio,13,17,35,27,409,369,457,413
,Transitando pela direita da faixa de rodagem,8,7,14,8,163,122,185,137
,Transitando pela esquerda da faixa de rodagem,4,1,11,4,64,78,79,83
,N.D.,1,0,6,5,40,27,47,32
,TOTAL,146,123,428,402,4825,5012,5399,5537
