,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
Jan,37,30,100,88,1775,1952,1912,2070
Fev,22,29,77,85,1536,1872,1635,1986
Mar,34,34,110,75,1836,1878,1980,1987
Abr,28,25,101,82,1854,1777,1983,1884
Mai,36,23,121,95,2049,2004,2206,2122
Jun,26,33,116,105,2140,1963,2282,2101
Jul,34,29,116,142,2317,2356,2467,2527
Ago,30,35,142,147,2163,2381,2335,2563
Set,28,31,115,119,2179,2098,2322,2248
Out,26,37,98,108,2306,2190,2430,2335
Nov,41,19,92,74,2026,2062,2159,2155
Dez,21,23,104,101,1995,1940,2120,2064
TOTAL,363,348,1292,1221,24176,24473,25831,26042
