,Vítimas mortais,,,,,,,,
,,,,,,,,,
,Condutores,,,Passageiros,,,Peões,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
Auto-Estrada,42,55,13,46,43,-3,4,10,6
,,,,,,,,,
Estrada Nacional/IP/IC,632,572,-60,280,235,-45,191,164,-27
,,,,,,,,,
Dentro Localidade,156,152,-4,48,47,-1,74,73,-1
,,,,,,,,,
Fora Localidade,476,420,-56,232,188,-44,117,91,-26
,,,,,,,,,
Estrada Municipal,181,176,-5,54,53,-1,31,45,14
,,,,,,,,,
Dentro Localidade,54,57,3,19,19,0,24,30,6
,,,,,,,,,
Fora Localidade,127,119,-8,35,34,-1,7,15,8
,,,,,,,,,
Outras (1),215,219,4,59,52,-7,130,126,-4
,,,,,,,,,
Dentro Localidade,203,208,5,56,50,-6,128,123,-5
,,,,,,,,,
Fora Localidade,12,11,-1,3,2,-1,2,3,1
,,,,,,,,,
Total da rede,1070,1022,-48,439,383,-56,356,345,-11
,,,,,,,,,
Dentro Localidade,413,417,4,123,116,-7,226,226,0
,,,,,,,,,
Fora Localidade,657,605,-52,316,267,-49,130,119,-11
,,,,,,,,,
