,Acidentes com vítimas,,,Parque (1000 veículos),,,"Acidentes com
vítimas/1000 veículos",,
,1997,1998,"98/97
%",1997,1998,"98/97
%",1997,1998,"98/97
%"
Alemanha,380.835,377.257,"-0,9",49.019,49.586,"1,2","7,77","7,61","-2,1"
Austrália,,,,10.956,12.057,"10,0",,,
Áustria,39.695,39.255,"-1,1",4.680,4.807,"2,7","8,48","8,17","-3,7"
Bélgica,50.078,51.167,"2,2",5.513,5.454,"-1,1","9,08","9,38","3,3"
Canadá,152.765,150.919,"-1,2",17.567,17.576,"0,1","8,70","8,59","-1,3"
Dinamarca,8.004,7.556,"-5,6",2.199,2.327,"5,8","3,64","3,25","-10,8"
,,,,,,,,,
Espanha,86.067,95.570,"11,0",20.286,21.306,"5,0","4,24","4,49","5,7"
E. U. A.,2.455.118,2.029.000,"-17,4",203.568,207.588,"2,0","12,06","9,77","-19,0"
Finlândia,6.980,6.902,"-1,1",2.296,2.311,"0,7","3,04","2,99","-1,8"
França,125.202,124.387,"-0,7",29.487,29.487,"0,0","4,25","4,22","-0,7"
Grécia,24.319,24.836,"2,1",4.048,4.323,"6,8","6,01","5,75","-4,4"
Hungria,19.097,20.147,"5,5",2.766,2.671,"-3,4","6,90","7,54","9,3"
,,,,,,,,,
Irlanda,8.496,8.239,"-3,0",1.432,1.511,"5,5","5,93","5,45","-8,1"
Islândia,1.027,992,"-3,4",143,160,"11,9","7,18","6,20","-13,7"
Itália,190.031,204.615,"7,7",41.112,37.836,"-8,0","4,62","5,41","17,0"
Japão,780.399,803.878,"3,0",84.482,77.056,"-8,8","9,24","10,43","12,9"
Luxemburgo,1.577,1.017,"-35,5",314,314,"0,0","5,02","3,24","-35,5"
Noruega,8.765,8.864,"1,1",2.354,2.486,"5,6","3,72","3,57","-4,2"
,,,,,,,,,
N. Zelândia,9.482,8.770,"-7,5",2.393,2.318,"-3,1","3,96","3,78","-4,5"
P. Baixos,41.036,41.299,"0,6",6.755,7.216,"6,8","6,07","5,72","-5,8"
Portugal,49.417,49.319,"-0,2",3.918,4.205,"7,3","12,61","11,73","-7,0"
Reino Unido,247.238,246.410,"-0,3",27.563,28.140,"2,1","8,97","8,76","-2,4"
Rep. Checa,28.376,27.207,"-4,1",4.325,4.549,"5,2","6,56","5,98","-8,8"
Suécia,15.752,15.514,"-1,5",4.428,4.495,"1,5","3,56","3,45","-3,0"
Suíça,22.076,22.232,"0,7",4.260,4.349,"2,1","5,18","5,11","-1,4"
