,Mortos,,,F. Graves,,,F. Leves,,,Total,,
,,,,,,,,,,,,
,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões
,,,,,,,,,,,,
R. LISBOA V. TEJO,284,124,107,1945,1024,929,9812,6093,2799,12041,7241,3835
,,,,,,,,,,,,
Dentro Localidade,123,39,76,1210,543,859,6435,3525,2673,7768,4107,3608
,,,,,,,,,,,,
Fora Localidade,161,85,31,735,481,70,3377,2568,126,4273,3134,227
,,,,,,,,,,,,
Lisboa,138,43,63,858,449,652,5657,3458,2093,6653,3950,2808
,,,,,,,,,,,,
Dentro Localidade,79,24,50,640,325,623,4137,2377,2025,4856,2726,2698
,,,,,,,,,,,,
Fora Localidade,59,19,13,218,124,29,1520,1081,68,1797,1224,110
,,,,,,,,,,,,
Santarém,63,38,16,637,335,112,1722,1012,199,2422,1385,327
,,,,,,,,,,,,
Dentro Localidade,23,9,10,339,136,95,947,436,179,1309,581,284
,,,,,,,,,,,,
Fora Localidade,40,29,6,298,199,17,775,576,20,1113,804,43
,,,,,,,,,,,,
Setúbal,83,43,28,450,240,165,2433,1623,507,2966,1906,700
,,,,,,,,,,,,
Dentro Localidade,21,6,16,231,82,141,1351,712,469,1603,800,626
,,,,,,,,,,,,
Fora Localidade,62,37,12,219,158,24,1082,911,38,1363,1106,74
,,,,,,,,,,,,
