,Coli são,,,Desp iste,,,Atropela mento,,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
Velocípedes,1539,1552,13,119,148,29,63,84,21
,,,,,,,,,
Ciclomotores,10596,8339,-2257,2082,1875,-207,739,511,-228
,,,,,,,,,
Motociclos,3983,4143,160,1200,1177,-23,404,396,-8
,,,,,,,,,
,,,,,,,,,
Motoc./1000 motoc.,,,,,,,,,
em circulação,35.6,34.2,-1.4,10.7,9.7,-1.0,3.6,3.3,-0.3
,,,,,,,,,
,,,,,,,,,
Veículos ligeiros (1),42641,42534,-107,8008,8871,863,6776,6434,-342
,,,,,,,,,
de passageiros,37747,32771,-4976,7282,6953,-329,5925,5077,-848
,,,,,,,,,
de mercadorias,3922,8005,4083,556,1559,1003,678,1129,451
,,,,,,,,,
,,,,,,,,,
Ligeiros/1000 lig.,,,,,,,,,
em circulação,"10,8","10,0","-0,8","2,0","2,1","+0,1","1,7","1,5","-0,2"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Veículos pesados (2),3029,3168,139,407,476,69,361,351,-10
,,,,,,,,,
de passageiros,1484,744,-740,71,66,-5,200,199,-1
,,,,,,,,,
de mercadorias,1117,2172,1055,245,355,110,131,136,5
,,,,,,,,,
,,,,,,,,,
Pesados/1000 pes.,,,,,,,,,
em circulação,"22,3","22,3","0,0","3,0","3,3","+0,3","2,7","2,5","-0,2"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Outros veículos,713,510,-203,133,97,-36,95,44,-51
,,,,,,,,,
