,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,184,152,163,205,204,196,223,262,193,196,200,202,2380
,Acid.c/ mortos e f.graves,44,32,41,42,38,51,50,56,39,44,44,47,528
REGIÃO,Acid.com mortos,9,8,13,8,4,12,15,20,14,9,12,11,135
ALENTEJO,Mortos,10,9,15,8,6,13,17,23,14,11,15,13,154
,F.Graves,43,36,43,41,48,50,62,64,45,51,46,45,574
,F.Leves,181,179,170,236,240,225,242,314,220,247,257,236,2747
,Acidentes com vítimas,59,41,60,71,65,75,70,114,66,73,74,67,835
,Acid.c/ mortos e f.graves,14,8,12,12,11,22,9,20,12,17,15,16,168
Beja,Acid.com mortos,4,2,5,5,1,5,5,9,3,4,4,7,54
,Mortos,4,2,7,5,2,6,6,9,3,5,6,9,64
,F.Graves,14,10,11,9,12,21,8,21,12,22,15,11,166
,F.Leves,59,43,70,82,85,98,81,147,81,89,99,70,1004
,Acidentes com vítimas,89,60,56,84,85,69,92,92,78,85,76,75,941
,Acid.c/ mortos e f.graves,20,16,13,20,15,15,25,22,17,18,19,18,218
Évora,Acid.com mortos,3,4,2,1,2,3,7,8,7,4,4,1,46
,Mortos,3,5,2,1,3,3,8,11,7,4,4,1,52
,F.Graves,18,16,17,22,21,17,35,21,18,19,20,20,244
,F.Leves,88,75,64,93,97,77,105,97,92,111,89,92,1080
,Acidentes com vítimas,36,51,47,50,54,52,61,56,49,38,50,60,604
,Acid.c/ mortos e f.graves,10,8,16,10,12,14,16,14,10,9,10,13,142
Portalegre,Acid.com mortos,2,2,6,2,1,4,3,3,4,1,4,3,35
,Mortos,3,2,6,2,1,4,3,3,4,2,5,3,38
,F.Graves,11,10,15,10,15,12,19,22,15,10,11,14,164
,F.Leves,34,61,36,61,58,50,56,70,47,47,69,74,663
