,Mortos,,,F. Graves,,,F. Leves,,,Total,,
,,,,,,,,,,,,
,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões
,,,,,,,,,,,,
REGIÃO CENTRO,331,100,92,1093,483,255,9518,5143,1321,10942,5726,1668
,,,,,,,,,,,,
Dentro Localidade,129,21,59,655,226,213,6306,2751,1205,7090,2998,1477
,,,,,,,,,,,,
Fora Localidade,202,79,33,438,257,42,3212,2392,116,3852,2728,191
,,,,,,,,,,,,
Aveiro,77,20,25,347,123,83,3113,1353,358,3537,1496,466
,,,,,,,,,,,,
Dentro Localidade,46,7,17,260,72,72,2476,963,330,2782,1042,419
,,,,,,,,,,,,
Fora Localidade,31,13,8,87,51,11,637,390,28,755,454,47
,,,,,,,,,,,,
C. Branco,41,12,9,96,55,28,487,332,87,624,399,124
,,,,,,,,,,,,
Dentro Localidade,7,2,3,28,18,19,157,86,71,192,106,93
,,,,,,,,,,,,
Fora Localidade,34,10,6,68,37,9,330,246,16,432,293,31
,,,,,,,,,,,,
Coimbra,54,18,16,132,49,25,1984,981,345,2170,1048,386
,,,,,,,,,,,,
Dentro Localidade,23,2,13,67,14,20,1352,554,323,1442,570,356
,,,,,,,,,,,,
Fora Localidade,31,16,3,65,35,5,632,427,22,728,478,30
,,,,,,,,,,,,
Guarda,28,10,4,72,34,6,472,329,54,572,373,64
,,,,,,,,,,,,
Dentro Localidade,5,1,2,32,11,6,212,103,50,249,115,58
,,,,,,,,,,,,
Fora Localidade,23,9,2,40,23,0,260,226,4,323,258,6
,,,,,,,,,,,,
Leiria,86,19,23,347,157,71,2282,1335,311,2715,1511,405
,,,,,,,,,,,,
Dentro Localidade,33,6,14,221,92,61,1512,725,295,1766,823,370
,,,,,,,,,,,,
Fora Localidade,53,13,9,126,65,10,770,610,16,949,688,35
,,,,,,,,,,,,
Viseu,45,21,15,99,65,42,1180,813,166,1324,899,223
,,,,,,,,,,,,
Dentro Localidade,15,3,10,47,19,35,597,320,136,659,342,181
,,,,,,,,,,,,
Fora Localidade,30,18,5,52,46,7,583,493,30,665,557,42
,,,,,,,,,,,,
