,Acidentes,Acidentes,Acidentes,,,
,com vítimas,com mortos,com mortos,Mortos,Feridos,Feridos leves
,,e/ou f. graves,,,graves,
REGIÃO CENTRO,13026,1923,476,523,1831,15982
,,,,,,
Dentro Localidade,8826,1127,201,209,1094,10262
,,,,,,
Fora Localidade,4200,796,275,314,737,5720
,,,,,,
Aveiro,4086,566,113,122,553,4824
,,,,,,
Dentro Localidade,3245,411,67,70,404,3769
,,,,,,
Fora Localidade,841,155,46,52,149,1055
,,,,,,
C. Branco,783,192,57,62,179,906
,,,,,,
Dentro Localidade,301,67,12,12,65,314
,,,,,,
Fora Localidade,482,125,45,50,114,592
,,,,,,
Coimbra,2654,244,82,88,206,3310
,,,,,,
Dentro Localidade,1873,129,38,38,101,2229
,,,,,,
Fora Localidade,781,115,44,50,105,1081
,,,,,,
Guarda,670,123,36,42,112,855
,,,,,,
Dentro Localidade,322,48,8,8,49,365
,,,,,,
Fora Localidade,348,75,28,34,63,490
,,,,,,
Leiria,3263,577,119,128,575,3928
,,,,,,
Dentro Localidade,2222,361,49,53,374,2532
,,,,,,
Fora Localidade,1041,216,70,75,201,1396
,,,,,,
Viseu,1570,221,69,81,206,2159
,,,,,,
Dentro Localidade,863,111,27,28,101,1053
,,,,,,
Fora Localidade,707,110,42,53,105,1106
,,,,,,
