,Mortos,,,F. Graves,,,F. Leves,,,Total,,
,,,,,,,,,,,,
,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões
,,,,,,,,,,,,
REGIÃO ALENTEJO,92,42,20,320,198,56,1551,998,198,1963,1238,274
,,,,,,,,,,,,
Dentro Localidade,7,4,7,92,29,44,505,202,174,604,235,225
,,,,,,,,,,,,
Fora Localidade,85,38,13,228,169,12,1046,796,24,1359,1003,49
,,,,,,,,,,,,
Beja,43,15,6,96,55,15,570,375,59,709,445,80
,,,,,,,,,,,,
Dentro Localidade,2,2,2,23,4,10,143,69,47,168,75,59
,,,,,,,,,,,,
Fora Localidade,41,13,4,73,51,5,427,306,12,541,370,21
,,,,,,,,,,,,
Évora,25,19,8,136,87,21,596,398,86,757,504,115
,,,,,,,,,,,,
Dentro Localidade,1,2,2,41,15,15,220,67,76,262,84,93
,,,,,,,,,,,,
Fora Localidade,24,17,6,95,72,6,376,331,10,495,420,22
,,,,,,,,,,,,
Portalegre,24,8,6,88,56,20,385,225,53,497,289,79
,,,,,,,,,,,,
Dentro Localidade,4,0,3,28,10,19,142,66,51,174,76,73
,,,,,,,,,,,,
Fora Localidade,20,8,3,60,46,1,243,159,2,323,213,6
,,,,,,,,,,,,
