,Condutores vítimas,,,,,,,,
,,,,,,,,,
,Feminino,,,Masculino,,,Total (1),,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
Vítimas mortais,55,70,15,1015,947,-68,1070,1022,-48
,,,,,,,,,
<=14,2,1,-1,10,6,-4,12,7,-5
,,,,,,,,,
15-17,0,1,1,27,22,-5,27,23,-4
,,,,,,,,,
18-20,2,5,3,91,86,-5,93,92,-1
,,,,,,,,,
21-24,9,11,2,150,139,-11,159,150,-9
,,,,,,,,,
25-29,10,12,2,136,145,9,146,157,11
,,,,,,,,,
30-34,8,7,-1,93,103,10,101,110,9
,,,,,,,,,
35-49,12,20,8,226,210,-16,238,230,-8
,,,,,,,,,
50-64,9,8,-1,154,134,-20,163,142,-21
,,,,,,,,,
>=65,3,5,2,124,92,-32,127,97,-30
,,,,,,,,,
Não def.,0,0,0,4,10,6,4,14,10
,,,,,,,,,
Feridos Graves,496,507,11,3969,3584,-385,4479,4115,-364
,,,,,,,,,
<=14,9,11,2,67,65,-2,76,76,0
15-17,18,17,-1,266,159,-107,285,176,-109
,,,,,,,,,
18-20,51,43,-8,500,395,-105,551,439,-112
,,,,,,,,,
21-24,68,73,5,617,582,-35,685,656,-29
25-29,77,82,5,521,524,3,601,607,6
,,,,,,,,,
30-34,64,66,2,379,343,-36,443,410,-33
,,,,,,,,,
35-49,138,138,0,739,732,-7,877,870,-7
50-64,49,59,10,492,419,-73,541,478,-63
,,,,,,,,,
>=65,17,14,-3,345,313,-32,362,327,-35
,,,,,,,,,
Não def.,5,4,-1,43,52,9,58,76,18
Feridos Leves,5748,6322,574,27097,25645,-1452,32901,32253,-648
,,,,,,,,,
<=14,48,51,3,381,367,-14,429,421,-8
,,,,,,,,,
15-17,259,129,-130,1719,897,-822,1978,1027,-951
,,,,,,,,,
18-20,633,538,-95,3562,3029,-533,4196,3570,-626
,,,,,,,,,
21-24,986,1079,93,4376,4161,-215,5364,5244,-120
,,,,,,,,,
25-29,1002,1196,194,3760,3813,53,4767,5019,252
,,,,,,,,,
30-34,730,877,147,2565,2657,92,3295,3537,242
,,,,,,,,,
35-49,1441,1738,297,5458,5396,-62,6900,7141,241
,,,,,,,,,
50-64,497,567,70,3276,3185,-91,3776,3757,-19
,,,,,,,,,
>=65,125,114,-11,1849,1934,85,1974,2050,76
,,,,,,,,,
Não def.,27,33,6,151,206,55,222,487,265
,,,,,,,,,
