,Por meses,
,Nº de Veículos,
,,%
Janeiro,3.813,"7,65"
Fevereiro,4.509,"9,05"
Março,4.861,"9,75"
Abril,4.194,"8,41"
Maio,3.551,"7,12"
Junho,4.398,"8,82"
Julho,4.014,"8,05"
Agosto,3.861,"7,75"
Setembro,4.159,"8,34"
Outubro,4.458,"8,94"
Novembro,3.853,"7,73"
Dezembro,4.173,"8,37"
Total (1),49.844,100
