,,,,,,,,,
,Acidentes c/ vítimas,,,Vítimas mortais,,,Feridos Graves,,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
2ªFeira,6673,6691,18,211,231,20,1087,957,-130
,,,,,,,,,
3ªFeira,6679,6339,-340,211,199,-12,1054,986,-68
,,,,,,,,,
4ªFeira,6535,6372,-163,216,187,-29,996,881,-115
,,,,,,,,,
5ªFeira,6950,6457,-493,242,229,-13,1083,989,-94
,,,,,,,,,
6ªFeira,7527,7516,-11,267,276,9,1150,1180,30
,,,,,,,,,
Sábado,7567,7374,-193,350,308,-42,1351,1296,-55
,,,,,,,,,
Domingo,7388,7217,-171,368,320,-48,1456,1408,-48
,,,,,,,,,
