,Vítimas mortais,,,População (milhares),,,Mortos/1000 pop.,,
,1997,1998,"98/97
%",1997,1998,"98/97
%",1997,1998,"98/97
%"
Alemanha,8.549,7.792,"-8,9",82.011,82.057,"0,1","0,10","0,09","-8,9"
Austrália,1.766,1.763,"-0,2",18.532,18.751,"1,2","0,10","0,09","-1,3"
Áustria,1.105,963,"-12,9",8.067,8.075,"0,1","0,14","0,12","-12,9"
Bélgica,1.364,1.500,"10,0",10.170,10.192,"0,2","0,13","0,15","9,7"
Canadá,3.064,2.927,"-4,5",30.286,30.300,"0,0","0,10","0,10","-4,5"
Dinamarca,489,499,"2,0",5.275,5.294,"0,4","0,09","0,09","1,7"
,,,,,,,,,
Espanha,5.604,5.957,"6,3",39.298,39.347,"0,1","0,14","0,15","6,2"
E. U. A.,41.967,41.471,"-1,2",267.636,270.299,"1,0","0,16","0,15","-2,2"
Finlândia,438,400,"-8,7",5.147,5.147,"0,0","0,09","0,08","-8,7"
França,8.444,8.918,"5,6",58.493,58.967,"0,8","0,14","0,15","4,8"
Grécia,2.199,2.226,"1,2",10.499,10.499,"0,0","0,21","0,21","1,2"
Hungria,1.391,1.371,"-1,4",10.174,10.135,"-0,4","0,14","0,14","-1,1"
,,,,,,,,,
Irlanda,472,458,"-3,0",3.694,3.705,"0,3","0,13","0,12","-3,3"
Islândia,15,27,"80,0",272,275,"1,1","0,06","0,10","78,0"
Itália,6.724,6.326,"-5,9",57.461,57.563,"0,2","0,12","0,11","-6,1"
Japão,11.254,10.805,"-4,0",126.166,126.486,"0,3","0,09","0,09","-4,2"
Luxemburgo,60,57,"-5,0",424,424,"0,0","0,14","0,13","-5,0"
Noruega,303,352,"16,2",4.393,4.418,"0,6","0,07","0,08","15,5"
,,,,,,,,,
N. Zelândia,540,502,"-7,0",3.743,3.781,"1,0","0,14","0,13","-8,0"
P. Baixos,1.163,1.066,"-8,3",15.567,15.654,"0,6","0,07","0,07","-8,8"
Portugal,2.210,2.126,"-3,8",9.933,9.474,"-4,6","0,22","0,22","0,9"
Reino Unido,3.743,3.581,"-4,3",59.009,59.236,"0,4","0,06","0,06","-4,7"
Rep. Checa,1.597,1.360,"-14,8",10.309,10.299,"-0,1","0,15","0,13","-14,8"
Suécia,541,531,"-1,8",8.844,8.848,"0,0","0,06","0,06","-1,9"
Suíça,587,597,"1,7",7.081,7.096,"0,2","0,08","0,08","1,5"
