,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,918,889,1041,1064,1144,1095,1213,1216,1035,1120,1038,1086,12859
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,97,81,100,102,93,97,139,112,98,116,83,114,1232
,,,,,,,,,,,,,,
REGIÃO,Acid.com mortos,26,33,35,44,25,33,31,36,30,33,39,47,412
,,,,,,,,,,,,,,
NORTE,Mortos,27,35,43,45,25,36,38,41,32,33,42,47,444
,,,,,,,,,,,,,,
,F.Graves,84,59,86,83,83,85,129,111,82,104,63,80,1049
,,,,,,,,,,,,,,
,F.Leves,1111,1115,1336,1403,1461,1448,1575,1753,1398,1496,1283,1397,16776
,,,,,,,,,,,,,,
,Acidentes com vítimas,222,218,276,276,324,275,317,304,236,272,251,268,3239
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,28,18,25,29,32,21,30,34,21,32,23,32,325
,,,,,,,,,,,,,,
Braga,Acid.com mortos,9,6,7,11,6,7,11,12,5,7,9,11,101
,,,,,,,,,,,,,,
,Mortos,10,6,8,11,6,7,15,12,5,7,10,11,108
,,,,,,,,,,,,,,
,F.Graves,25,13,24,26,30,21,21,30,20,29,21,23,283
,,,,,,,,,,,,,,
,F.Leves,295,290,340,371,416,381,442,425,317,373,306,350,4306
,,,,,,,,,,,,,,
,Acidentes com vítimas,38,25,27,39,33,39,36,51,31,51,29,33,432
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,10,8,8,10,7,8,10,7,5,10,3,15,101
,,,,,,,,,,,,,,
Bragança,Acid.com mortos,1,4,2,3,2,1,0,2,0,4,2,3,24
,,,,,,,,,,,,,,
,Mortos,1,4,3,3,2,1,0,2,0,4,2,3,25
,,,,,,,,,,,,,,
,F.Graves,9,8,7,8,7,8,10,5,5,12,1,18,98
,,,,,,,,,,,,,,
,F.Leves,47,28,28,42,45,42,40,61,37,68,35,31,504
,,,,,,,,,,,,,,
,Acidentes com vítimas,518,532,602,618,653,612,687,638,605,644,632,618,7359
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,38,42,49,45,41,50,68,45,46,54,41,41,560
,,,,,,,,,,,,,,
Porto,Acid.com mortos,9,13,18,22,13,19,11,12,14,18,21,23,193
,,,,,,,,,,,,,,
,Mortos,9,13,19,23,13,20,14,15,15,18,22,23,204
,,,,,,,,,,,,,,
,F.Graves,33,33,34,37,34,39,70,50,38,42,29,21,460
,,,,,,,,,,,,,,
,F.Leves,600,660,773,815,830,816,874,923,817,839,796,813,9556
,,,,,,,,,,,,,,
,Acidentes com vítimas,92,84,84,75,74,103,106,138,99,92,77,110,1134
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,10,9,8,12,9,7,17,11,14,11,8,15,131
,,,,,,,,,,,,,,
V.Castelo,Acid.com mortos,3,6,5,7,4,1,5,5,6,2,5,7,56
,,,,,,,,,,,,,,
,Mortos,3,8,10,7,4,1,5,5,7,2,6,7,65
,,,,,,,,,,,,,,
,F.Graves,9,5,6,6,7,7,15,9,8,14,6,10,102
,,,,,,,,,,,,,,
,F.Leves,108,98,119,100,90,127,144,191,145,128,85,137,1472
,,,,,,,,,,,,,,
,Acidentes com vítimas,48,30,52,56,60,66,67,85,64,61,49,57,695
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,11,4,10,6,4,11,14,15,12,9,8,11,115
,,,,,,,,,,,,,,
V.Real,Acid.com mortos,4,4,3,1,0,5,4,5,5,2,2,3,38
,,,,,,,,,,,,,,
,Mortos,4,4,3,1,0,7,4,7,5,2,2,3,42
,,,,,,,,,,,,,,
,F.Graves,8,0,15,6,5,10,13,17,11,7,6,8,106
,,,,,,,,,,,,,,
,F.Leves,61,39,76,75,80,82,75,153,82,88,61,66,938
,,,,,,,,,,,,,,
