,,,,,,,,,
,1995,1996,96/95,1997,97/96,1998,98/97,1999,99/98
,,,,,,,,,
Vítimas mortais,2085,2100,15,1939,-161,1865,-74,1750,-115
,,,,,,,,,
<=14,108,94,-14,93,-1,111,18,71,-40
15-17,89,92,3,66,-26,72,6,54,-18
,,,,,,,,,
18-20,209,193,-16,175,-18,155,-20,144,-11
,,,,,,,,,
21-24,258,215,-43,219,4,225,6,214,-11
25-29,198,207,9,201,-6,205,4,208,3
,,,,,,,,,
30-34,158,142,-16,154,12,137,-17,142,5
,,,,,,,,,
35-49,381,417,36,375,-42,334,-41,330,-4
50-64,329,347,18,294,-53,287,-7,271,-16
,,,,,,,,,
>=65,331,373,42,339,-34,335,-4,301,-34
,,,,,,,,,
Não def.,24,20,-4,23,3,4,-19,15,11
Feridos Graves,11229,10842,-387,9335,-1507,8177,-1158,7697,-480
,,,,,,,,,
<=14,882,839,-43,699,-140,681,-18,583,-98
,,,,,,,,,
15-17,719,567,-152,547,-20,513,-34,371,-142
,,,,,,,,,
18-20,1379,1284,-95,989,-295,839,-150,786,-53
21-24,1429,1407,-22,1208,-199,1014,-194,961,-53
,,,,,,,,,
25-29,1224,1181,-43,1013,-168,894,-119,919,25
,,,,,,,,,
30-34,892,862,-30,767,-95,672,-95,597,-75
35-49,1845,1860,15,1655,-205,1377,-278,1383,6
,,,,,,,,,
50-64,1408,1421,13,1264,-157,1095,-169,1042,-53
,,,,,,,,,
>=65,1280,1300,20,1096,-204,1034,-62,979,-55
Não def.,171,121,-50,97,-24,58,-39,76,18
,,,,,,,,,
Feridos Leves,54598,55785,1187,57181,1396,58426,1245,57630,-796
,,,,,,,,,
<=14,4590,4528,-62,4595,67,5002,407,4895,-107
,,,,,,,,,
15-17,3843,3538,-305,3670,132,3677,7,2680,-997
18-20,7393,7235,-158,7188,-47,6620,-568,6065,-555
,,,,,,,,,
21-24,7390,7392,2,7763,371,8002,239,7783,-219
,,,,,,,,,
25-29,6214,6725,511,6618,-107,6954,336,7286,332
30-34,4570,4931,361,5013,82,4881,-132,5123,242
,,,,,,,,,
35-49,9439,10090,651,10447,357,10814,367,11134,320
,,,,,,,,,
50-64,6469,6660,191,6870,210,7223,353,7022,-201
>=65,4067,4273,206,4564,291,5031,467,5155,124
,,,,,,,,,
Não def.,623,413,-210,453,40,222,-231,487,265
,,,,,,,,,
