Distrito de Lisboa (continuação),,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
IC19,"5,500","5,600",6,15,0,1,7,31
IC19,"6,000","6,200",9,18,0,3,11,63
IC19,"6,500","6,700",8,20,0,0,16,48
IC19,"6,900","7,000",5,11,0,1,5,25
IC19,"8,000","8,200",7,13,1,1,9,137
IC19,"9,000","9,200",6,7,1,1,7,131
IC19,"9,500","9,700",6,10,0,2,6,38
IC19,"9,800","10,000",16,27,1,1,29,197
IC2,"56,950","57,000",6,12,0,1,13,49
IC20,"1,900","2,050",5,10,0,2,9,47
,,Total,368,719,12,62,473,
,,,,,,,,
Distrito de Santarém,,,,,,,,
,,,,,,,,
EN10,"93,400","93,500",6,14,2,1,5,225
EN110,"91,224","91,400",5,9,0,2,8,44
EN110,"103,000","103,200",5,11,0,2,6,38
EN110,"103,700","103,900",5,10,0,3,6,48
EN118,"37,240","37,350",5,9,0,5,12,86
EN118,"38,000","38,100",5,9,0,2,5,35
EN118,"40,950","41,147",5,8,1,0,4,112
EN118,"92,600","92,800",6,7,0,2,6,38
EN3,"25,600","25,800",5,9,0,1,5,25
EN3,"38,800","39,000",5,12,0,1,4,22
A1,"58,500","58,500",5,6,0,2,8,44
A1,"96,600","96,725",5,11,0,0,15,45
,,Total,62,115,3,21,84,
,,,,,,,,
Distrito de Setúbal,,,,,,,,
,,,,,,,,
EN10,"15,990","16,100",5,9,0,1,7,31
EN10,"16,800","16,950",8,16,1,2,6,138
EN10,"19,350","19,500",6,13,0,0,9,27
EN10,"22,600","22,800",8,14,1,5,3,159
EN10,"28,620","28,800",5,9,0,0,7,21
EN11,"23,850","24,050",8,12,1,2,9,147
EN11,"24,900","25,000",7,14,0,5,6,68
EN11-1,"0,400","0,600",7,14,0,7,17,121
EN11-2,"1,300","1,500",7,15,0,5,9,77
EN120,"18,800","19,000",6,8,0,0,8,24
EN252,"8,900","9,100",5,8,0,2,4,32
EN252,"13,900","14,100",9,16,0,1,11,43
EN252,"14,800","15,000",5,8,0,1,5,25
A2,"4,000","4,100",5,9,0,0,7,21
A2,"5,300","5,500",5,9,1,2,12,156
A2,"6,000","6,200",6,10,0,2,8,44
A2,"7,950","8,150",6,23,0,0,7,21
A2,"11,750","11,950",5,13,0,2,5,35
A2,"15,200","15,400",6,11,0,0,7,21
A2,"119,800","120,000",6,7,1,3,8,154
,,Total,125,238,5,40,155,
,,,,,,,,
