Distrito de Braga,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN101,"95,400","95,500",6,14,0,0,10,30
EN101,"105,900","106,000",5,8,0,1,7,31
EN101,"106,980","107,170",5,9,0,0,8,24
EN101,"107,850","108,000",5,9,0,2,9,47
EN103,"31,800","32,000",5,11,0,1,7,31
EN105,"38,850","39,000",5,11,1,1,7,131
EN14,"20,200","20,400",6,13,0,0,12,36
EN14,"22,800","22,950",5,10,0,2,9,47
EN201,"56,057","56,100",5,9,0,1,4,22
EN201,"57,000","57,200",6,12,0,3,6,48
EN204,"21,900","22,000",5,12,0,1,4,22
EN207,"40,050","40,250",5,9,0,0,9,27
A3,"38,700","38,825",6,14,0,3,5,45
,,Total:,69,141,1,15,97,
,,,,,,,,
Distrito do Porto,,,,,,,,
,,,,,,,,
EN1,"290,041","290,150",5,9,0,0,8,24
EN1,"292,600","292,800",7,16,0,0,8,24
EN1,"293,200","293,300",7,11,0,0,16,48
EN1,"295,400","295,550",5,11,2,0,3,209
EN101,"129,500","129,700",5,10,0,0,8,24
EN101,"129,800","130,000",5,9,0,1,5,25
EN101,"131,100","131,300",5,11,0,0,8,24
EN101,"133,200","133,400",5,8,0,0,7,21
EN105,"26,700","26,900",5,10,0,0,9,27
EN106,"31,000","31,050",5,12,0,0,7,21
EN106,"34,000","34,200",5,10,0,1,5,25
EN107,"1,000","1,200",5,12,0,1,6,28
EN107,"6,800","7,000",8,17,1,2,11,153
EN109,"6,600","6,744",5,9,0,0,10,30
EN109,"7,800","8,000",6,13,0,0,11,33
EN109,"9,200","9,400",7,15,0,1,6,28
EN13,"0,800","1,000",5,10,0,1,4,22
EN13,"14,700","14,900",7,15,0,0,11,33
EN15,"20,800","21,000",5,10,1,0,9,127
EN15,"33,350","33,400",5,8,0,0,7,21
EN15,"49,600","49,800",6,11,0,0,7,21
EN15,"61,950","62,000",6,10,0,0,7,21
EN209,"17,200","17,400",6,11,0,1,7,31
EN209,"18,000","18,200",7,15,1,0,11,133
EN209,"29,900","30,040",5,11,1,1,3,119
EN209,"32,750","32,900",5,9,0,0,9,27
A3,"1,350","1,500",5,12,0,0,7,21
A3,"1,800","2,000",8,14,2,2,8,244
A3,"2,425","2,600",9,14,0,0,12,36
A4,"11,200","11,400",6,12,0,1,7,31
A4,"14,280","14,450",5,13,0,0,9,27
A4,"16,800","17,000",5,10,0,1,6,28
A4,"17,850","18,000",5,12,1,1,8,134
