Distrito de Lisboa,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN10,"127,000","127,200",6,10,0,0,14,42
EN10,"127,400","127,500",7,12,0,1,11,43
EN10,"128,200","128,400",5,9,1,0,4,112
EN10,"128,700","128,900",9,14,0,3,7,51
EN10,"129,000","129,200",6,7,0,1,5,25
EN10,"136,000","136,200",5,12,1,2,2,126
EN10,"140,100","140,300",6,8,0,1,6,28
EN117,"1,900","2,100",5,10,0,1,5,25
EN117,"2,800","3,000",5,11,0,0,10,30
EN117,"13,300","13,500",5,6,0,3,3,39
EN247,"77,800","77,900",5,8,1,2,7,141
EN247-5,"11,600","11,700",5,10,0,1,4,22
EN247-4,"2,250","2,450",6,13,0,0,7,21
EN250-1,"5,550","5,650",6,14,0,0,12,36
EN6,"3,000","3,200",7,12,0,0,9,27
EN6,"3,800","4,000",5,9,0,2,9,47
EN6,"5,600","5,800",5,8,0,0,7,21
EN6,"7,000","7,200",5,6,0,2,4,32
EN6,"7,400","7,600",6,11,0,0,8,24
EN6,"10,550","10,750",9,18,1,3,8,154
EN6,"14,300","14,500",6,10,2,1,10,240
EN8-2,"12,000","12,200",6,8,0,1,5,25
EN8-2,"16,000","16,200",7,9,0,3,6,48
EN9,"8,800","9,000",5,9,0,0,7,21
A1,"2,200","2,300",6,10,0,1,14,52
A1,"6,500","6,700",5,9,0,0,7,21
A1,"10,300","10,500",7,22,0,2,9,47
A1,"12,700","12,900",5,7,0,2,4,32
A1,"18,900","19,100",6,8,0,2,4,32
A1,"24,800","25,000",5,9,0,0,8,24
A1,"31,500","31,700",5,6,0,2,3,29
A5,"0,500","0,700",6,13,0,0,9,27
A5,"1,500","1,700",5,11,0,0,11,33
A5,"2,100","2,300",5,14,0,0,8,24
A5,"2,800","3,000",6,13,0,0,10,30
A5,"4,000","4,200",7,19,0,1,7,31
A5,"4,400","4,600",9,19,0,0,12,36
A5,"4,800","5,000",6,14,0,0,9,27
A5,"6,300","6,500",9,29,0,1,10,40
A5,"6,800","7,000",8,22,0,1,10,40
A5,"7,800","8,000",6,10,1,0,5,115
A5,"8,900","9,000",6,8,0,1,5,25
A8,"0,100","0,300",5,12,0,2,4,32
A9,"0,001","0,200",7,9,0,0,10,30
A9,"15,600","15,800",5,16,2,3,3,239
IC19,"0,800","1,000",5,10,0,1,6,28
IC19,"4,000","4,200",11,27,0,1,15,55
IC19,"5,000","5,200",7,15,0,2,8,44
