,Feridos graves,,,,,,,,
,,,,,,,,,
,Condutores,,,Passageiros,,,Peões,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
Auto-Estrada,156,167,11,126,186,60,15,16,1
,,,,,,,,,
Estrada Nacional/IP/IC,1781,1749,-32,987,1025,38,311,270,-41
,,,,,,,,,
Dentro Localidade,602,601,-1,274,301,27,175,157,-18
,,,,,,,,,
Fora Localidade,1179,1148,-31,713,724,11,136,113,-23
,,,,,,,,,
Estrada Municipal,723,628,-95,262,274,12,141,178,37
,,,,,,,,,
Dentro Localidade,344,330,-14,93,127,34,93,138,45
,,,,,,,,,
Fora Localidade,379,298,-81,169,147,-22,48,40,-8
,,,,,,,,,
Outras (1),1819,1571,-248,612,560,-52,1244,1073,-171
,,,,,,,,,
Dentro Localidade,1768,1534,-234,589,548,-41,1239,1068,-171
,,,,,,,,,
Fora Localidade,51,37,-14,23,12,-11,5,5,0
,,,,,,,,,
Total da rede,4479,4115,-364,1987,2045,58,1711,1537,-174
,,,,,,,,,
Dentro Localidade,2714,2465,-249,956,976,20,1507,1363,-144
,,,,,,,,,
Fora Localidade,1765,1650,-115,1031,1069,38,204,174,-30
,,,,,,,,,
