,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,973,921,1009,1054,1081,1118,1251,1322,1126,1063,1020,1088,13026
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,166,144,149,149,136,166,163,193,170,159,147,181,1923
,,,,,,,,,,,,,,
REGIÃO,Acid.com mortos,32,40,39,34,26,42,38,54,46,39,38,48,476
,,,,,,,,,,,,,,
CENTRO,Mortos,33,47,43,35,31,44,45,61,49,40,42,53,523
,,,,,,,,,,,,,,
,F.Graves,156,124,144,143,132,165,156,191,150,162,126,182,1831
,,,,,,,,,,,,,,
,F.Leves,1104,1102,1177,1258,1404,1372,1588,1765,1386,1306,1183,1337,15982
,,,,,,,,,,,,,,
,Acidentes com vítimas,340,295,340,302,337,343,402,347,316,328,368,368,4086
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,54,47,51,46,40,52,45,45,46,39,47,54,566
,,,,,,,,,,,,,,
Aveiro,Acid.com mortos,10,9,12,6,8,13,8,8,11,7,13,8,113
,,,,,,,,,,,,,,
,Mortos,11,9,13,6,9,13,9,10,11,7,16,8,122
,,,,,,,,,,,,,,
,F.Graves,51,43,48,45,35,49,46,48,40,39,42,67,553
,,,,,,,,,,,,,,
,F.Leves,374,312,374,342,421,431,511,427,352,396,437,447,4824
,,,,,,,,,,,,,,
,Acidentes com vítimas,58,57,68,74,53,75,64,61,84,69,53,67,783
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,18,12,11,21,11,17,12,15,21,21,15,18,192
,,,,,,,,,,,,,,
Castelo,Acid.com mortos,5,6,2,6,4,4,1,4,6,8,4,7,57
,,,,,,,,,,,,,,
Branco,Mortos,5,6,2,6,7,4,1,4,7,8,4,8,62
,,,,,,,,,,,,,,
,F.Graves,18,6,9,19,8,18,13,16,21,19,14,18,179
,,,,,,,,,,,,,,
,F.Leves,64,71,82,79,62,85,76,69,105,75,50,88,906
,,,,,,,,,,,,,,
,Acidentes com vítimas,185,198,214,222,222,248,254,256,225,219,197,214,2654
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,16,20,21,19,15,21,23,24,20,26,13,26,244
,,,,,,,,,,,,,,
Coimbra,Acid.com mortos,8,8,6,7,3,6,6,9,10,8,2,9,82
,,,,,,,,,,,,,,
,Mortos,8,8,6,7,3,7,8,10,10,9,2,10,88
,,,,,,,,,,,,,,
,F.Graves,10,13,25,12,14,19,22,19,13,25,11,23,206
,,,,,,,,,,,,,,
,F.Leves,202,249,251,269,284,285,326,334,298,289,253,270,3310
,,,,,,,,,,,,,,
,Acidentes com vítimas,55,46,49,47,57,46,61,74,65,65,47,58,670
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,11,11,9,6,9,11,9,12,12,9,17,7,123
,,,,,,,,,,,,,,
Guarda,Acid.com mortos,0,4,6,1,2,5,2,6,1,0,8,1,36
,,,,,,,,,,,,,,
,Mortos,0,6,7,1,2,5,2,8,1,0,9,1,42
,,,,,,,,,,,,,,
,F.Graves,12,9,7,7,8,7,8,15,11,12,9,7,112
,,,,,,,,,,,,,,
,F.Leves,68,68,65,60,77,52,80,107,76,80,38,84,855
,,,,,,,,,,,,,,
,Acidentes com vítimas,229,201,232,264,277,286,312,389,294,277,229,273,3263
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,50,34,40,44,49,47,52,66,53,50,33,59,577
,,,,,,,,,,,,,,
Leiria,Acid.com mortos,6,8,6,8,5,10,13,19,9,12,7,16,119
,,,,,,,,,,,,,,
,Mortos,6,10,6,8,5,11,14,21,10,12,7,18,128
,,,,,,,,,,,,,,
,F.Graves,49,32,43,45,54,53,46,68,52,48,30,55,575
,,,,,,,,,,,,,,
,F.Leves,243,241,274,303,353,353,386,535,360,327,252,301,3928
,,,,,,,,,,,,,,
,Acidentes com vítimas,106,124,106,145,135,120,158,195,142,105,126,108,1570
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,17,20,17,13,12,18,22,31,18,14,22,17,221
,,,,,,,,,,,,,,
Viseu,Acid.com mortos,3,5,7,6,4,4,8,8,9,4,4,7,69
,,,,,,,,,,,,,,
,Mortos,3,8,9,7,5,4,11,8,10,4,4,8,81
,,,,,,,,,,,,,,
,F.Graves,16,21,12,15,13,19,21,25,13,19,20,12,206
,,,,,,,,,,,,,,
,F.Leves,153,161,131,205,207,166,209,293,195,139,153,147,2159
,,,,,,,,,,,,,,
