,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,1226,1224,1427,1378,1480,1503,1519,1449,1425,1417,1390,1343,16781
,,,,,,,,,,,,,,
REGIÃO DE,Acid.c/ mortos e f.graves,264,276,300,297,319,315,330,313,294,317,295,269,3589
,,,,,,,,,,,,,,
LISBOA E,Acid.com mortos,35,27,40,36,45,48,44,42,32,43,36,36,464
,,,,,,,,,,,,,,
VALE TEJO,Mortos,37,29,44,39,57,52,47,46,38,46,41,39,515
,,,,,,,,,,,,,,
,F.Graves,298,296,327,322,348,326,336,348,344,361,308,284,3898
,,,,,,,,,,,,,,
,F.Leves,1337,1311,1564,1532,1686,1671,1704,1662,1661,1543,1537,1496,18704
,,,,,,,,,,,,,,
,Acidentes com vítimas,747,751,843,791,915,888,863,789,834,890,866,835,10012
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,158,151,153,150,160,162,164,147,150,173,164,147,1879
,,,,,,,,,,,,,,
Lisboa,Acid.com mortos,21,14,21,14,17,22,23,23,17,21,14,16,223
,,,,,,,,,,,,,,
,Mortos,23,15,23,14,22,23,24,24,20,23,16,17,244
,,,,,,,,,,,,,,
,F.Graves,183,157,160,161,166,160,159,148,159,192,167,147,1959
,,,,,,,,,,,,,,
,F.Leves,815,792,941,886,1072,998,960,903,943,980,973,945,11208
,,,,,,,,,,,,,,
,Acidentes com vítimas,191,193,248,243,236,269,269,252,252,233,259,241,2886
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,61,61,80,76,89,88,89,83,84,70,73,74,928
,,,,,,,,,,,,,,
Santarém,Acid.com mortos,8,6,11,8,8,11,7,6,8,10,10,10,103
,,,,,,,,,,,,,,
,Mortos,8,6,12,10,11,11,7,9,10,11,11,11,117
,,,,,,,,,,,,,,
,F.Graves,61,67,92,90,108,98,101,98,109,89,84,87,1084
,,,,,,,,,,,,,,
,F.Leves,187,195,248,237,218,266,259,268,301,246,260,248,2933
,,,,,,,,,,,,,,
,Acidentes com vítimas,288,280,336,344,329,346,387,408,339,294,265,267,3883
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,45,64,67,71,70,65,77,83,60,74,58,48,782
,,,,,,,,,,,,,,
Setúbal,Acid.com mortos,6,7,8,14,20,15,14,13,7,12,12,10,138
,,,,,,,,,,,,,,
,Mortos,6,8,9,15,24,18,16,13,8,12,14,11,154
,,,,,,,,,,,,,,
,F.Graves,54,72,75,71,74,68,76,102,76,80,57,50,855
,,,,,,,,,,,,,,
,F.Leves,335,324,375,409,396,407,485,491,417,317,304,303,4563
,,,,,,,,,,,,,,
