,,,,,,,,,
,Acidentes c/ vítimas,,,Vítimas mortais,,,Feridos Graves,,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
Auto-Estrada,1435,1716,281,92,108,16,297,369,72
,,,,,,,,,
Estrada Nacional/IP/IC,17319,16728,-591,1103,971,-132,3079,3044,-35
,,,,,,,,,
Dentro Localidade,6851,7018,167,278,272,-6,1051,1059,8
,,,,,,,,,
Fora Localidade,10468,9710,-758,825,699,-126,2028,1985,-43
,,,,,,,,,
Estrada Municipal,7152,7333,181,266,274,8,1126,1080,-46
,,,,,,,,,
Dentro Localidade,3640,4223,583,97,106,9,530,595,65
,,,,,,,,,
Fora Localidade,3512,3110,-402,169,168,-1,596,485,-111
,,,,,,,,,
Outras (1),23413,22189,-1224,404,397,-7,3675,3204,-471
,,,,,,,,,
Dentro Localidade,23055,21887,-1168,387,381,-6,3596,3150,-446
,,,,,,,,,
Fora Localidade,358,302,-56,17,16,-1,79,54,-25
,,,,,,,,,
Total da rede,49319,47966,-1353,1865,1750,-115,8177,7697,-480
,,,,,,,,,
Dentro Localidade,33546,33128,-418,762,759,-3,5177,4804,-373
,,,,,,,,,
Fora Localidade,15773,14838,-935,1103,991,-112,3000,2893,-107
,,,,,,,,,
