Distrito de Faro,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN125,"1,000","1,200",7,15,1,1,8,134
EN125,"55,900","56,100",5,10,0,1,6,28
EN125,"99,300","99,400",6,10,0,0,11,33
EN125,"101,000","101,160",5,12,0,0,7,21
EN125,"103,200","103,250",9,20,0,0,11,33
EN125,"108,500","108,500",5,6,0,1,9,37
EN125,"111,500","111,700",7,13,0,0,9,27
EN125,"113,250","113,400",5,8,0,1,4,22
EN125,"113,600","113,800",6,14,0,0,8,24
EN125,"114,100","114,300",6,9,0,1,6,28
EN125,"133,600","133,800",5,11,0,0,7,21
EN2,"735,100","735,300",5,11,0,2,6,38
EN396,"17,000","17,100",5,8,0,0,7,21
,,Total,76,147,1,7,99,
