,,,,,,,,,
,1995,1996,96/95,1997,97/96,1998,98/97,1999,99/98
,,,,,,,,,
Vítimas mortais,460,480,20,422,-58,356,-66,345,-11
,,,,,,,,,
Dentro Localidade,300,303,3,273,-30,221,-52,222,1
,,,,,,,,,
Fora Localidade,160,177,17,149,-28,135,-14,123,-12
,,,,,,,,,
Feridos Graves,2525,2473,-52,1973,-500,1711,-262,1537,-174
,,,,,,,,,
Dentro Localidade,2262,2162,-100,1747,-415,1498,-249,1355,-143
,,,,,,,,,
Fora Localidade,263,311,48,226,-85,213,-13,182,-31
,,,,,,,,,
Feridos Leves,7229,7194,-35,7216,22,6985,-231,6845,-140
,,,,,,,,,
Dentro Localidade,6461,6291,-170,6542,251,6316,-226,6276,-40
,,,,,,,,,
Fora Localidade,768,903,135,674,-229,669,-5,569,-100
,,,,,,,,,
Total vítimas,10214,10147,-67,9611,-536,9052,-559,8727,-325
,,,,,,,,,
Dentro Localidade,9023,8756,-267,8562,-194,8035,-527,7853,-182
,,,,,,,,,
Fora Localidade,1191,1391,200,1049,-342,1017,-32,874,-143
,,,,,,,,,
