,,,,,,,,,
,1995,1996,96/95,1997,97/96,1998,98/97,1999,99/98
,,,,,,,,,
Vítimas mortais,684,622,-62,580,-42,553,-27,480,-73
,,,,,,,,,
Ciclomotores,408,368,-40,338,-30,277,-61,222,-55
,,,,,,,,,
Motociclos,202,196,-6,184,-12,211,27,222,11
,,,,,,,,,
Velocípedes,74,58,-16,58,0,65,7,36,-29
,,,,,,,,,
Feridos Graves,4450,3733,-717,3160,-573,2818,-342,2435,-383
,,,,,,,,,
Ciclomotores,2970,2422,-548,1989,-433,1606,-383,1301,-305
,,,,,,,,,
Motociclos,1134,1013,-121,877,-136,952,75,917,-35
,,,,,,,,,
Velocípedes,346,298,-48,294,-4,260,-34,217,-43
,,,,,,,,,
Feridos Leves,20574,18038,-2536,18040,2,18371,331,16334,-2037
,,,,,,,,,
Ciclomotores,15565,13041,-2524,12627,-414,12296,-331,9912,-2384
,,,,,,,,,
Motociclos,3764,3769,5,4151,382,4730,579,4962,232
,,,,,,,,,
Velocípedes,1245,1228,-17,1262,34,1345,83,1460,115
,,,,,,,,,
