,Mortos,,,F. Graves,,,F. Leves,,,Total,,
,,,,,,,,,,,,
,Cond.,Passag.,Peões,Cond.,Passag.,Peões,Cond.,Passag.,Peões,Cond.,Passag.,Peões
,,,,,,,,,,,,
REGIÃO NORTE,247,90,107,546,270,233,9196,5364,2216,9989,5724,2556
,,,,,,,,,,,,
Dentro Localidade,131,47,77,378,153,196,6686,3589,1988,7195,3789,2261
,,,,,,,,,,,,
Fora Localidade,116,43,30,168,117,37,2510,1775,228,2794,1935,295
,,,,,,,,,,,,
Braga,53,24,31,147,64,72,2381,1408,517,2581,1496,620
,,,,,,,,,,,,
Dentro Localidade,29,11,21,103,34,59,1607,870,423,1739,915,503
,,,,,,,,,,,,
Fora Localidade,24,13,10,44,30,13,774,538,94,842,581,117
,,,,,,,,,,,,
Bragança,20,3,2,56,25,17,264,190,50,340,218,69
,,,,,,,,,,,,
Dentro Localidade,1,1,2,34,14,16,132,70,46,167,85,64
,,,,,,,,,,,,
Fora Localidade,19,2,0,22,11,1,132,120,4,173,133,5
,,,,,,,,,,,,
Porto,116,36,52,226,115,119,5236,2921,1399,5578,3072,1570
,,,,,,,,,,,,
Dentro Localidade,82,25,44,186,83,102,4233,2240,1311,4501,2348,1457
,,,,,,,,,,,,
Fora Localidade,34,11,8,40,32,17,1003,681,88,1077,724,113
,,,,,,,,,,,,
V. Castelo,36,13,16,56,32,14,828,478,166,920,523,196
,,,,,,,,,,,,
Dentro Localidade,13,9,6,16,7,9,453,245,131,482,261,146
,,,,,,,,,,,,
Fora Localidade,23,4,10,40,25,5,375,233,35,438,262,50
,,,,,,,,,,,,
V. Real,22,14,6,61,34,11,487,367,84,570,415,101
,,,,,,,,,,,,
Dentro Localidade,6,1,4,39,15,10,261,164,77,306,180,91
,,,,,,,,,,,,
Fora Localidade,16,13,2,22,19,1,226,203,7,264,235,10
,,,,,,,,,,,,
