Distrito de Aveiro,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN1,"234,800","234,850",7,14,1,1,10,140
EN1,"236,700","236,900",5,11,0,0,7,21
EN1,"256,750","256,800",5,9,0,1,4,22
EN1,"282,500","282,700",5,11,0,0,8,24
EN1,"283,700","283,900",5,8,0,2,4,32
EN1,"286,000","286,200",5,9,1,0,10,130
EN1,"286,700","286,900",8,14,3,2,13,359
EN109,"29,900","30,050",5,11,0,1,6,28
EN109,"41,750","41,900",5,10,0,0,8,24
EN109,"46,700","46,900",5,8,0,0,9,27
EN16,"3,300","3,500",9,18,0,3,7,51
EN16,"4,800","4,900",5,9,0,1,4,22
EN327,"2,700","2,850",6,12,0,6,9,87
EN327,"10,100","10,300",5,12,0,0,7,21
EN333,"21,800","22,000",5,8,0,3,3,39
IC2,"207,800","208,000",8,16,0,0,12,36
,,Total,93,180,5,20,121,
Distrito de Coimbra,,,,,,,,
,,,,,,,,
EN1,"197,870","197,915",5,9,0,1,7,31
EN109,"116,600","116,800",6,12,0,2,7,41
A1,"196,900","197,050",5,9,1,1,11,143
IP3,"47,750","47,900",10,23,1,7,20,230
IP3,"48,200","48,400",9,17,0,2,12,56
IP3,"48,700","48,800",5,7,0,1,6,28
IP3,"60,300","60,500",5,5,1,0,7,121
IP3,"67,500","67,700",5,6,0,0,8,24
,,Total,50,88,3,14,78,
Distrito de Leiria,,,,,,,,
,,,,,,,,
EN1,"92,675","92,740",5,14,0,3,8,54
EN1,"107,800","108,000",5,14,0,2,8,44
EN1,"108,035","108,200",7,16,0,0,9,27
EN113,"1,000","1,100",5,11,0,1,7,31
EN113,"9,319","9,500",5,6,1,2,7,141
EN113,"11,800","12,000",5,8,0,1,8,34
EN237,"3,600","3,800",5,5,0,0,8,24
EN242,"4,400","4,500",5,12,0,0,9,27
EN242,"22,300","22,500",6,15,0,2,7,41
EN242,"36,600","36,800",8,10,0,0,13,39
EN247,"5,000","5,200",5,12,0,0,8,24
A1,"138,200","138,375",6,9,0,0,7,21
IC2,"123,000","123,100",6,14,1,0,7,121
,,Total,73,146,2,11,106,
Distrito de Viseu,,,,,,,,
,,,,,,,,
EN2,"166,800","167,000",6,9,0,0,10,30
EN227,"66,000","66,100",5,9,1,0,5,115
EN229,"86,500","86,600",5,10,0,0,9,27
EN234,"96,800","96,800",6,6,0,0,8,24
,,Total,22,34,1,0,32,
