,Peões vítimas,,,,,,,,
,,,,,,,,,
,Feminino,,,Masculino,,,Total (1),,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
Vítimas mortais,125,118,-7,231,227,-4,356,345,-11
,,,,,,,,,
<=14,14,10,-4,31,22,-9,45,32,-13
,,,,,,,,,
15-17,2,1,-1,0,4,4,2,5,3
,,,,,,,,,
18-20,1,2,1,5,2,-3,6,4,-2
,,,,,,,,,
21-24,4,3,-1,6,4,-2,10,7,-3
,,,,,,,,,
25-29,3,1,-2,8,8,0,11,9,-2
,,,,,,,,,
30-34,1,1,0,10,9,-1,11,10,-1
,,,,,,,,,
35-49,6,8,2,40,40,0,46,48,2
,,,,,,,,,
50-64,26,16,-10,50,59,9,76,75,-1
,,,,,,,,,
>=65,68,76,8,81,79,-2,149,155,6
,,,,,,,,,
Feridos Graves,758,743,-15,953,794,-159,1711,1537,-174
,,,,,,,,,
<=14,129,113,-16,210,151,-59,339,264,-75
,,,,,,,,,
15-17,24,18,-6,21,21,0,45,39,-6
,,,,,,,,,
18-20,24,26,2,28,21,-7,52,47,-5
,,,,,,,,,
21-24,31,27,-4,44,30,-14,75,57,-18
,,,,,,,,,
25-29,28,29,1,62,37,-25,90,66,-24
,,,,,,,,,
30-34,28,26,-2,45,27,-18,73,53,-20
,,,,,,,,,
35-49,77,73,-4,127,123,-4,204,196,-8
,,,,,,,,,
50-64,163,167,4,173,161,-12,336,328,-8
,,,,,,,,,
>=65,254,264,10,243,223,-20,497,487,-10
,,,,,,,,,
Feridos Leves,3223,3446,223,3762,3399,-363,6985,6845,-140
,,,,,,,,,
<=14,634,705,71,959,882,-77,1593,1587,-6
,,,,,,,,,
15-17,142,145,3,124,127,3,266,272,6
,,,,,,,,,
18-20,118,147,29,143,114,-29,261,261,0
21-24,141,160,19,201,141,-60,342,301,-41
,,,,,,,,,
25-29,155,149,-6,192,176,-16,347,325,-22
,,,,,,,,,
30-34,139,146,7,175,173,-2,314,319,5
35-49,479,490,11,586,540,-46,1065,1031,-34
,,,,,,,,,
50-64,602,592,-10,595,508,-87,1197,1101,-96
,,,,,,,,,
>=65,813,912,99,787,736,-51,1600,1648,48
