,,1998,,,,1999,,,,Inspec.
,,Inspecções,Aprovados,Reprovados,,Inspecções,Aprovados,Reprovados,,99/98
,,,,,%,,,,%,
Aveiro,,221.570,198.527,23.043,"10,4",249.482,213.712,35.770,"14,3","12,6"
Beja,,36.985,31.705,5.280,"14,3",44.135,36.810,7.325,"16,6","19,3"
Braga,,233.238,209.112,24.126,"10,3",259.467,225.082,34.385,"13,3","11,2"
Bragança,,54.108,48.571,5.537,"10,2",58.767,51.422,7.345,"12,5","8,6"
C. Branco,,72.613,65.353,7.260,"10,0",86.408,72.878,13.530,"15,7","19,0"
Coimbra,,129.962,114.989,14.973,"11,5",161.804,135.817,25.987,"16,1","24,5"
Évora,,58.159,51.118,7.041,"12,1",71.961,60.201,11.760,"16,3","23,7"
Faro,,130.979,115.991,14.988,"11,4",149.615,123.772,25.843,"17,3","14,2"
Guarda,,54.994,48.676,6.318,"11,5",74.983,62.566,12.417,"16,6","36,3"
Leiria,,207.326,187.242,20.084,"9,7",246.072,207.685,38.387,"15,6","18,7"
Lisboa,,547.024,478.746,68.278,"12,5",642.355,539.387,102.968,"16,0","17,4"
Portalegre,,37.783,34.225,3.558,"9,4",33.861,29.078,4.783,"14,1","-10,4"
Porto,,483.752,439.887,43.865,"9,1",532.030,470.570,61.460,"11,6","10,0"
Santarém,,157.309,138.712,18.579,"11,8",179.796,147.591,32.205,"17,9","14,3"
Setúbal,,209.539,182.436,27.103,"12,9",234.425,190.203,44.222,"18,9","11,9"
V. Castelo,,75.169,66.030,9.139,"12,2",87.607,74.149,13.458,"15,4","16,5"
V. Real,,47.569,39.276,8.293,"17,4",50.293,41.354,8.939,"17,8","5,7"
Viseu,,96.822,84.535,12.287,"12,7",119.737,100.392,19.345,"16,2","23,7"
Total,,2.854.901,2.535.131,319.752,"11,2",3.282.798,2.782.669,500.129,"15,2","15,0"
