,,,Grupos etários,,,,,,,,,,
,,,<=14,15-17,18-20,21-24,25-29,30-34,35-49,50-64,>=65,"Não
def.",Total
,,1998,153,805,2963,4836,4690,3618,7680,3718,1315,543,30321
Velocidade excessiva,Velocidade excessiva,1999,127,337,2067,4046,4086,2986,6420,3051,1019,914,25053
,,99/98,-26,-468,-896,-790,-604,-632,-1260,-667,-296,371,-5268
Desrespeito da cedência,Desrespeito da cedência,1998,133,538,1342,1980,1855,1429,3183,1892,892,202,13446
de passagem,de passagem,1999,133,293,1165,1953,1890,1538,3160,1880,915,381,13308
,,99/98,0,-245,-177,-27,35,109,-23,-12,23,179,-138
,,1998,48,187,530,925,946,712,1651,987,444,76,6506
Desobediência sinalização,Desobediência sinalização,1999,57,105,485,970,1002,777,1655,1093,501,187,6832
,,99/98,9,-82,-45,45,56,65,4,106,57,111,326
,,1998,26,189,495,673,611,474,1045,609,233,61,4416
Ultrapassagem irregular,Ultrapassagem irregular,1999,18,108,505,701,713,522,1108,562,286,144,4667
,,99/98,-8,-81,10,28,102,48,63,-47,53,83,251
,,1998,12,23,93,179,177,137,312,176,74,1,1184
Distracção/sonolência,Distracção/sonolência,1999,59,96,375,771,823,656,1590,859,430,201,5860
,,99/98,47,73,282,592,646,519,1278,683,356,200,4676
,,1998,7,16,67,133,139,91,228,108,59,0,848
Desvio brusco/saída da fila,Desvio brusco/saída da fila,1999,61,67,341,691,733,560,1256,653,233,153,4748
de trânsito,de trânsito,99/98,54,51,274,558,594,469,1028,545,174,153,3900
,,1998,17,68,248,341,379,275,621,326,138,2,2415
Não identificada,Não identificada,1999,97,226,1040,1863,2038,1548,3460,1837,729,734,13572
,,99/98,80,158,792,1522,1659,1273,2839,1511,591,732,11157
,,1998,145,685,1879,2982,3095,2335,5133,2802,1092,1258,21406
Não definida,Não definida,1999,0,0,0,0,1,0,1,0,0,4,6
,,99/98,-145,-685,-1879,-2982,-3094,-2335,-5132,-2802,-1092,-1254,-21400
,,1998,50,143,266,416,422,321,713,381,204,26,2942
Outras,Outras,1999,52,142,484,856,932,690,1692,878,419,237,6382
,,99/98,2,-1,218,440,510,369,979,497,215,211,3440
,,1998,591,2654,7883,12465,12314,9392,20566,10999,4451,2169,83484
Total,Total,1999,604,1374,6462,11851,12218,9277,20342,10813,4532,2955,80428
,,99/98,13,-1280,-1421,-614,-96,-115,-224,-186,81,786,-3056
